TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF100315-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100315;LID 1L DIAMETER 115 - DZE 1180;Deksel rond;115;115;0;0
MF100315-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100315;LID 1L DIAMETER 115 - DZE 1180;Deksel rond;115;115;0;1
MF100351-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;23;MF100351;POT 110GR - LBC;Banderole ronde pot;229,76;63,8;1;0
MF100351-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100351;POT 110GR - LBC;Banderole ronde pot;229,76;63,8;1;1
MF100351-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;25;MF100351;POT 110GR - LBC;Banderole ronde pot;229,76;63,8;0;0
MF100351-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100351;POT 110GR - LBC;Banderole ronde pot;229,76;63,8;0;1
MF100399-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF100399;DETO 55;Deksel ovaal;224;159,03;1;0
MF100399-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100399;DETO 55;Deksel ovaal;224;159,03;1;1
MF100399-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF100399;DETO 55;Deksel ovaal;224;159,03;0;0
MF100399-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100399;DETO 55;Deksel ovaal;224;159,03;0;1
MF100400-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF100400;DETO 35;Deksel ovaal;195;138,03;1;0
MF100400-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF100400;DETO 35;Deksel ovaal;195;138,03;1;1
MF100400-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF100400;DETO 35;Deksel ovaal;195;138,03;0;0
